Buccaneers,0,14,7,0,21,Falcons,7,10,10,0,27,201009
Bears,0,7,7,8,22,Bills,0,7,6,6,19,201009
Patriots,0,7,0,7,14,Browns,10,7,7,10,34,201009
Jets,0,10,0,10,3,23,Lions,7,0,6,7,0,20,201009
Cardinals,0,14,7,3,0,24,Vikings,0,10,0,14,3,27,201009
Saints,7,10,10,7,34,Panthers,3,0,0,0,3,201009
Dolphins,7,3,0,0,10,Ravens,7,6,7,6,26,201009
Chargers,14,0,7,8,29,Texans,10,10,3,0,23,201009
Giants,21,14,6,0,41,Seahawks,0,0,0,7,7,201009
Chiefs,0,10,3,7,0,20,Raiders,0,0,14,6,3,23,201009
Colts,0,17,0,7,24,Eagles,13,3,3,7,26,201009
Cowboys,0,7,0,0,7,Packers,0,28,7,10,45,201009
Steelers,10,10,0,7,27,Bengals,0,7,0,14,21,201009
Ravens,0,0,7,14,21,Falcons,0,10,3,13,26,201010
Lions,0,3,0,9,12,Bills,0,7,7,0,14,201010
Vikings,3,7,3,0,13,Bears,0,14,6,7,27,201010
Jets,3,14,0,3,6,26,Browns,10,3,0,7,0,20,201010
Bengals,0,10,0,7,17,Colts,10,10,0,3,23,201010
Titans,10,0,7,0,17,Dolphins,7,3,10,9,29,201010
Panthers,3,7,6,0,16,Buccaneers,7,14,0,10,31,201010
Texans,3,0,14,7,24,Jaguars,3,14,0,14,31,201010
Chiefs,0,10,7,12,29,Broncos,21,14,7,7,49,201010
Cowboys,6,13,14,0,33,Giants,3,3,14,0,20,201010
Seahawks,7,10,9,10,36,Cardinals,7,3,0,8,18,201010
Rams,3,7,7,3,0,20,49ers,7,3,0,10,3,23,201010
Patriots,10,0,13,16,39,Steelers,0,3,0,23,26,201010
Eagles,28,17,14,0,59,Redskins,0,14,7,7,28,201010
Bears,3,3,10,0,16,Dolphins,0,0,0,0,0,201011
Bills,7,7,14,21,49,Bengals,7,24,0,0,31,201011
Lions,0,10,9,0,19,Cowboys,7,0,14,14,35,201011
Redskins,7,3,3,3,3,19,Titans,7,3,3,3,0,16,201011
Cardinals,3,0,3,7,13,Chiefs,0,14,7,10,31,201011
Packers,0,17,7,7,31,Vikings,3,0,0,0,3,201011
Texans,0,7,0,20,27,Jets,3,10,7,10,30,201011
Raiders,3,0,0,0,3,Steelers,0,21,0,14,35,201011
Ravens,10,7,3,17,37,Panthers,0,3,3,7,13,201011
Browns,0,7,10,3,20,Jaguars,3,7,0,14,24,201011
Falcons,3,13,7,11,34,Rams,7,3,7,0,17,201011
Seahawks,3,13,0,3,19,Saints,7,20,7,0,34,201011
Buccaneers,0,7,7,7,21,49ers,0,0,0,0,0,201011
Colts,0,14,0,14,28,Patriots,7,14,7,3,31,201011
Giants,0,3,7,7,17,Eagles,7,6,3,11,27,201011
Broncos,7,0,0,7,14,Chargers,7,14,7,7,35,201011
Patriots,3,7,14,21,45,Lions,7,10,7,0,24,201012
Saints,17,3,3,7,30,Cowboys,0,6,14,7,27,201012
Bengals,0,7,0,3,10,Jets,0,3,14,9,26,201012
Packers,3,0,7,7,17,Falcons,3,7,0,10,20,201012
Steelers,7,6,0,3,3,19,Bills,0,0,7,9,0,16,201012
Panthers,7,6,7,3,23,Browns,14,7,0,3,24,201012
Jaguars,7,10,0,3,20,Giants,3,3,3,15,24,201012
Vikings,7,0,10,0,17,Redskins,7,0,0,6,13,201012
Titans,0,0,0,0,0,Texans,0,14,3,3,20,201012
