Maple Leafs,1,1,1,0,3,Avalanche,1,1,1,1,4,20171229
Blackhawks,1,1,1,1,4,Oilers,1,0,2,0,3,20171229
Flames,0,1,0,1,Ducks,1,0,1,2,20171229,,
Bruins,1,3,1,5,Senators,0,0,0,0,20171230,,
Canadiens,0,0,0,0,Panthers,0,1,1,2,20171230,,
Devils,1,0,1,2,Capitals,2,1,2,5,20171230,,
Hurricanes,0,2,0,2,Blues,1,1,1,3,20171230,,
Wild,0,0,0,0,Predators,0,0,3,3,20171230,,
Kings,2,0,2,4,Canucks,1,1,1,3,20171230,,
Maple Leafs,0,2,1,3,Golden Knights,3,1,2,6,20171231,,
Coyotes,1,0,1,2,Ducks,2,0,3,5,20171231,,
Lightning,0,4,1,5,Blue Jackets,0,0,0,0,20171231,,
Penguins,0,1,0,1,Red Wings,1,2,1,4,20171231,,
Jets,2,2,1,5,Oilers,0,0,0,0,20171231,,
Sharks,0,0,0,0,Stars,2,2,2,6,20171231,,
Islanders,0,0,1,1,Avalanche,1,4,1,6,20171231,,
Blackhawks,0,2,1,0,3,Flames,1,2,0,1,4,20171231
Rangers,2,0,0,1,3,Sabres,0,1,1,0,2,20180101
Lightning,0,2,0,2,Maple Leafs,0,0,0,0,20180102,,
Bruins,1,1,3,5,Islanders,1,0,0,1,20180102,,
Penguins,0,4,1,5,Flyers,0,1,0,1,20180102,,
Capitals,2,1,1,1,5,Hurricanes,1,1,2,0,4,20180102
Sharks,1,2,1,4,Canadiens,0,1,0,1,20180102,,
Devils,0,1,1,0,2,Blues,1,1,0,1,3,20180102
Panthers,0,0,1,1,Wild,1,3,1,5,20180102,,
Blue Jackets,0,0,2,2,Stars,0,0,1,1,20180102,,
Jets,0,0,2,0,2,Avalanche,0,2,0,1,3,20180102
Kings,0,1,4,5,Oilers,0,0,0,0,20180102,,
Ducks,2,1,2,5,Canucks,0,0,0,0,20180102,,
Predators,0,0,0,0,Golden Knights,0,2,1,3,20180102,,
Senators,0,0,1,0,1,Red Wings,1,0,0,1,2,20180103
Blackhawks,1,1,3,5,Rangers,1,1,0,2,20180103,,
Sharks,1,1,0,0,2,Maple Leafs,1,1,0,1,3,20180104
Islanders,1,1,2,4,Flyers,1,4,1,6,20180104,,
Hurricanes,0,2,2,4,Penguins,0,0,0,0,20180104,,
Lightning,0,1,0,0,1,Canadiens,0,1,0,1,2,20180104
Golden Knights,0,1,0,1,Blues,1,0,1,2,20180104,,
Sabres,0,0,2,2,Wild,3,3,0,6,20180104,,
Devils,1,1,1,3,Stars,0,3,1,4,20180104,,
Blue Jackets,0,0,0,0,Avalanche,0,1,1,2,20180104,,
Kings,2,0,1,3,Flames,0,4,0,4,20180104,,
Ducks,0,0,1,0,1,Oilers,0,1,0,1,2,20180104
Predators,0,1,1,0,2,Coyotes,0,1,1,1,3,20180104
Penguins,0,3,1,4,Islanders,0,0,0,0,20180105,,
Sharks,2,3,0,0,5,Senators,1,1,3,1,6,20180105
Panthers,0,1,1,2,Red Wings,1,1,2,4,20180105,,
Sabres,1,1,1,3,Jets,2,1,1,4,20180105,,
Golden Knights,2,1,2,5,Blackhawks,1,2,1,4,20180105,,
Blues,0,1,2,3,Flyers,2,2,2,6,20180106,,
Oilers,0,0,1,1,Stars,3,1,1,5,20180106,,
Hurricanes,1,0,0,1,Bruins,5,2,0,7,20180106,,
Canucks,0,1,1,0,2,Maple Leafs,0,0,2,1,3,20180106
Lightning,0,3,0,3,Senators,3,0,3,6,20180106,,
Rangers,0,1,0,1,2,Coyotes,1,0,0,0,1,20180106
Wild,1,1,0,2,Avalanche,2,2,3,7,20180106,,
Ducks,0,0,2,2,Flames,2,0,1,3,20180106,,
Predators,1,2,1,4,Kings,0,1,2,3,20180106,,
Devils,0,2,2,0,4,Islanders,1,1,2,1,5,20180107
Sabres,0,1,0,1,Flyers,0,2,2,4,20180107,,
Blues,0,2,1,0,3,Capitals,1,0,2,1,4,20180107
Oilers,0,1,0,1,Blackhawks,2,1,1,4,20180107,,
Sharks,0,1,0,1,Jets,1,2,1,4,20180107,,
Panthers,0,1,1,0,2,Blue Jackets,1,1,0,1,3,20180107
Canucks,0,1,1,2,Canadiens,1,1,3,5,20180107,,
Lightning,2,1,2,5,Red Wings,0,1,1,2,20180107,,
Bruins,1,4,0,0,5,Penguins,3,1,1,1,6,20180107
Rangers,1,0,0,1,Golden Knights,1,0,1,2,20180107,,
